Prompt: a beautiful coastal beach in spring, waves lapping on sand, black and white aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.562,1.000,0.000,3
,5,0.210,1.000,0.000,3
,8,0.132,1.000,0.000,3
,11,0.229,2.203,-1.711,3
,14,0.050,0.566,-0.111,8
,22,0.030,0.463,-0.039,12
,29,0.022,0.373,-0.260,12
,30,0.003,0.108,-0.024,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, black and white aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.750,10.125,9.125,3
,5,0.196,1.000,0.000,3
,8,0.125,1.000,0.000,3
,11,0.204,1.938,-1.344,3
,14,0.083,0.867,0.208,6
,20,0.056,0.773,0.072,8
,28,0.067,0.801,-0.492,8
,29,0.010,0.320,-0.063,12
,30,0.007,0.254,-0.024,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, watercolor painting aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,10.812,8.688,7.688,3
,5,0.185,1.000,0.000,3
,8,0.088,1.000,0.000,6
,14,0.089,1.539,-1.344,6
,20,0.024,0.438,0.149,12
,29,0.014,0.242,-0.223,12
,30,0.000,0.019,-0.007,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, watercolor painting aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,12.000,10.875,9.875,3
,5,0.184,1.000,0.000,3
,8,0.092,1.000,0.000,4
,12,0.138,2.031,-1.703,3
,15,0.028,0.398,-0.111,12
,27,0.014,0.254,-0.169,12
,29,0.002,0.075,-0.049,12
,30,0.001,0.023,-0.011,12
Prompt: a panda drinking coffee in a cafe in paris, van gogh style aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.938,10.875,9.875,3
,5,0.311,1.000,0.000,3
,8,0.179,1.000,0.000,3
,11,0.174,1.336,-0.482,3
,14,0.112,0.984,-0.183,3
,17,0.105,1.039,0.183,4
,21,0.157,1.578,0.516,3
,24,0.116,1.062,0.000,3
,27,0.163,1.281,-0.312,3
,29,0.155,1.234,-0.377,3
,30,0.092,0.855,0.000,4
Prompt: a panda drinking coffee in a cafe in paris, van gogh style aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.750,2.438,1.445,3
,5,0.277,1.000,0.000,3
,8,0.130,1.000,0.000,3
,11,0.101,1.000,0.000,4
,15,0.076,1.000,0.000,6
,21,0.064,1.000,0.000,8
,29,0.098,1.055,-0.277,4
,30,0.062,0.777,0.000,8
Prompt: an astronaut flying in space, surrealism style aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.758,3.219,2.219,3
,5,0.256,1.000,0.000,3
,8,0.124,1.000,0.000,3
,11,0.188,1.844,-1.211,3
,14,0.053,0.637,0.000,8
,22,0.040,0.656,-0.098,10
,29,0.040,0.559,-0.176,10
,30,0.013,0.383,-0.014,12
Prompt: an astronaut flying in space, surrealism style aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.797,7.312,6.312,3
,5,0.256,1.000,0.000,3
,8,0.122,1.000,0.000,3
,11,0.165,1.797,-1.133,3
,14,0.071,0.898,-0.338,6
,20,0.041,0.625,-0.172,10
,29,0.035,0.453,-0.336,10
,30,0.004,0.118,-0.022,12
Prompt: the bund shanghai, pixel art aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.344,10.000,9.000,3
,5,0.279,1.000,0.000,3
,8,0.154,1.000,0.000,3
,11,0.183,1.336,-0.482,3
,14,0.087,0.855,0.000,6
,20,0.068,0.906,-0.130,8
,28,0.076,0.891,-0.570,6
,29,0.014,0.361,-0.104,12
,30,0.007,0.246,-0.057,12
Prompt: the bund shanghai, pixel art aesthetic score: 7.0. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.188,9.125,8.125,3
,5,0.252,1.000,0.000,3
,8,0.117,1.000,0.000,3
,11,0.408,2.562,-2.234,3
,14,0.107,1.008,0.520,4
,18,0.049,0.562,-0.122,10
,28,0.033,0.439,-0.234,10
,29,0.005,0.205,-0.036,12
,30,0.004,0.159,-0.046,12
