Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.102,1.000, 0.000, 3
5,0.216,1.000, 0.000, 3
8,0.120,1.000, 0.000, 3
11,0.194,1.797, -1.133, 3
14,0.183,2.000, 1.031, 3
17,0.095,1.375, 0.312, 4
21,0.108,1.555, 0.352, 4
25,0.128,1.477, 0.195, 3
28,0.205,1.625, -0.494, 3
29,0.104,1.445, -0.443, 4
30,0.096,1.219, -0.361, 4
Prompt: a lightning striking atop of eiffel tower, dark clouds in the sky aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.188,2.438, 1.445, 3
5,0.291,1.000, 0.000, 3
8,0.091,1.000, 0.000, 4
12,0.081,1.219, -0.361, 6
18,0.049,0.906, -0.130, 10
28,0.052,0.777, -0.027, 8
29,0.024,0.863, 0.063, 12
30,0.025,0.953, 0.068, 12
Prompt: an epic tornado attacking above a glowing city at night, the tornado is made of smoke aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.391,2.172, 1.172, 3
5,0.184,1.000, 0.000, 3
8,0.106,1.000, 0.000, 4
12,0.160,1.930, -1.547, 3
15,0.038,0.562, 0.137, 10
25,0.027,0.486, 0.031, 12
29,0.017,0.418, -0.188, 12
30,0.006,0.223, -0.033, 12
Prompt: an epic tornado attacking above a glowing city at night, the tornado is made of smoke aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.656,9.125, 8.125, 3
5,0.303,1.000, 0.000, 3
8,0.115,1.000, 0.000, 3
11,0.207,2.750, -2.484, 3
14,0.055,0.680, 0.326, 8
22,0.034,0.543, 0.105, 10
29,0.029,0.439, -0.250, 12
30,0.005,0.186, -0.022, 12
Prompt: a horse galloping across an open field aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.344,9.375, 8.375, 3
5,0.291,1.000, 0.000, 3
8,0.198,1.000, 0.000, 3
11,0.180,1.797, -1.133, 3
14,0.061,0.715, -0.078, 8
22,0.042,0.652, -0.073, 10
29,0.040,0.578, -0.139, 10
30,0.019,0.570, 0.064, 12
Prompt: a horse galloping across an open field aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.938,5.969, 4.969, 3
5,0.222,1.000, 0.000, 3
8,0.113,1.000, 0.000, 3
11,0.172,1.984, -1.406, 3
14,0.159,1.539, 0.738, 3
17,0.099,1.156, 0.273, 4
21,0.153,1.516, 0.449, 3
24,0.146,1.367, 0.234, 3
27,0.190,1.648, -0.738, 3
29,0.166,1.391, -0.688, 3
30,0.097,0.859, -0.222, 4
Prompt: a person is bungee jumping aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.578,4.625, 3.625, 3
5,0.260,1.000, 0.000, 3
8,0.188,1.000, 0.000, 3
11,0.486,4.125, 2.391, 3
14,0.234,2.156, -0.625, 3
17,0.159,1.734, -0.287, 3
20,0.200,2.219, 0.598, 3
23,0.243,2.500, 0.676, 3
26,0.200,1.828, 0.000, 3
29,0.361,2.297, -0.676, 3
30,0.177,1.625, 0.000, 3
Prompt: a person is bungee jumping aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.625,7.250, -6.250, 3
5,0.250,1.000, 0.000, 3
8,0.224,1.000, 0.000, 3
11,0.354,2.922, 1.477, 3
14,0.155,1.445, 0.000, 3
17,0.181,1.820, 0.287, 3
20,0.190,1.938, 0.312, 3
23,0.196,2.047, -0.598, 3
26,0.188,1.820, 0.287, 3
29,0.260,1.734, -0.287, 3
30,0.241,2.219, 0.598, 3
Prompt: a giraffe running to join a herd of its kind aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.875,7.250, -6.250, 3
5,0.291,1.000, 0.000, 3
8,0.177,1.000, 0.000, 3
11,0.245,1.578, 0.443, 3
14,0.195,1.438, 0.234, 3
17,0.209,1.539, 0.260, 3
20,0.149,1.281, 0.000, 3
23,0.218,1.992, 0.547, 3
26,0.167,1.445, 0.000, 3
29,0.223,1.445, 0.000, 3
30,0.151,1.445, 0.000, 3
Prompt: a giraffe running to join a herd of its kind aesthetic score: 6.5. motion score: 5.0.
