Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,0.672,1.000,0.000,3
,5,0.223,1.000,0.000,3
,8,0.188,1.000,0.000,3
,11,0.277,1.797,-1.133,3
,14,0.066,0.660,0.000,8
,22,0.057,0.758,0.054,8
,29,0.068,0.750,-0.225,8
,30,0.028,0.648,0.068,12
Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.422,5.219,4.219,3
,5,0.243,1.000,0.000,3
,8,0.215,1.000,0.000,3
,11,0.146,1.273,-0.391,3
,14,0.110,1.195,-0.443,3
,17,0.088,1.016,-0.377,6
,23,0.055,0.699,0.039,8
,29,0.058,0.695,-0.171,8
,30,0.023,0.539,-0.085,12
Prompt: the bund shanghai, oil painting aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.734,6.469,5.469,3
,5,0.279,1.000,0.000,3
,8,0.126,1.000,0.000,3
,11,0.206,2.281,-1.820,3
,14,0.039,0.492,-0.052,10
,24,0.025,0.439,-0.119,12
,29,0.015,0.289,-0.151,12
,30,0.004,0.135,-0.021,12
Prompt: the bund shanghai, oil painting aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.000,9.875,8.875,3
,5,0.271,1.000,0.000,3
,8,0.223,1.000,0.000,3
,11,0.277,2.562,1.195,3
,14,0.129,1.539,-0.260,3
,17,0.104,1.281,0.000,4
,21,0.103,1.398,-0.195,4
,25,0.118,1.312,-0.176,3
,28,0.222,1.648,-0.738,3
,29,0.078,0.973,-0.091,6
,30,0.056,0.957,0.046,8
Prompt: an iron man is playing the electronic guitar, high electronic guitar. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.961,1.898,0.898,3
,5,0.171,1.000,0.000,3
,8,0.099,1.000,0.000,4
,12,0.137,1.609,-1.008,3
,15,0.119,1.055,0.352,3
,18,0.097,1.125,0.326,4
,22,0.138,1.719,0.656,3
,25,0.114,1.211,-0.208,3
,28,0.238,1.938,-1.344,3
,29,0.060,0.852,-0.365,8
,30,0.020,0.504,-0.081,12
Prompt: an iron man is playing the electronic guitar, high electronic guitar. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,5.500,6.781,5.781,3
,5,0.204,1.000,0.000,3
,8,0.207,1.000,0.000,3
,11,0.206,1.273,-0.391,3
,14,0.148,1.258,0.287,3
,17,0.118,1.102,0.104,3
,20,0.094,1.000,0.000,4
,24,0.109,1.219,0.156,4
,28,0.146,1.328,-0.449,3
,29,0.078,1.125,-0.352,6
,30,0.041,0.797,-0.046,10
Prompt: a cute fluffy panda eating chinese food in a restaurant aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.328,3.500,2.500,3
,5,0.249,1.000,0.000,3
,8,0.158,1.000,0.000,3
,11,0.328,2.109,-1.586,3
,14,0.135,1.016,0.377,3
,17,0.103,0.926,0.222,4
,21,0.068,0.738,-0.059,8
,29,0.068,0.770,-0.449,8
,30,0.012,0.334,-0.068,12
Prompt: a cute fluffy panda eating chinese food in a restaurant aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.312,8.375,7.344,3
,5,0.207,1.000,0.000,3
,8,0.175,1.000,0.000,3
,11,0.149,1.000,0.000,3
,14,0.155,1.070,-0.104,3
,17,0.116,1.102,0.104,3
,20,0.099,1.070,-0.104,4
,24,0.091,0.969,0.000,4
,28,0.113,0.969,0.000,3
,29,0.078,1.109,-0.195,6
,30,0.047,0.930,-0.046,10
Prompt: a squirrel eating a burger. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,1.070,2.172,1.172,3
,5,0.227,1.000,0.000,3
,8,0.191,1.000,0.000,3
,11,0.348,1.938,-1.344,3
,14,0.093,0.688,-0.130,4
,18,0.057,0.664,-0.176,8
,26,0.041,0.559,-0.354,10
,29,0.009,0.205,-0.134,12
,30,0.002,0.067,-0.021,12
Prompt: a squirrel eating a burger. aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,6.000,10.500,9.500,3
,5,0.299,1.000,0.000,3
,8,0.160,1.000,0.000,3
,11,0.424,2.594,-2.266,3
,14,0.051,0.371,0.039,8
,22,0.044,0.574,0.135,10
,29,0.032,0.439,-0.182,10
,30,0.009,0.258,-0.053,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, black and white aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.562,9.000,7.969,3
,5,0.254,1.000,0.000,3
,8,0.184,1.000,0.000,3
,11,0.104,1.273,-0.391,4
,15,0.072,1.008,-0.205,6
,21,0.058,0.867,-0.163,8
,29,0.074,0.812,-0.547,6
,30,0.016,0.266,0.000,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, black and white aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,4.219,8.375,7.344,3
,5,0.242,1.000,0.000,3
,8,0.173,1.000,0.000,3
,11,0.130,1.211,-0.299,3
,14,0.088,1.219,-0.443,6
,20,0.056,0.910,-0.332,8
,28,0.052,0.625,-0.244,8
,29,0.011,0.391,-0.034,12
,30,0.010,0.355,0.000,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, watercolor painting aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,7.375,7.438,6.438,3
,5,0.194,1.000,0.000,3
,8,0.135,1.000,0.000,3
,11,0.207,1.938,-1.344,3
,14,0.149,1.375,0.598,3
,17,0.089,0.949,-0.247,6
,23,0.055,0.719,-0.039,8
,29,0.066,0.809,-0.645,8
,30,0.008,0.180,-0.083,12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, watercolor painting aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,8.250,10.000,9.000,3
,5,0.279,1.000,0.000,3
,8,0.140,1.000,0.000,3
,11,0.424,2.219,0.938,3
,14,0.110,1.281,0.000,3
,17,0.130,1.617,0.260,3
,20,0.124,1.539,-0.260,3
,23,0.134,1.461,-0.260,3
,26,0.149,1.367,-0.234,3
,29,0.338,2.234,-1.570,3
,30,0.134,1.211,-0.785,3
Prompt: an astronaut flying in space, surrealism style aesthetic score: 6.5. motion score: 5.0.
sample_idx,step,cache_diff,mo_reg,mo_grad,new_rate
,2,3.078,6.781,5.781,3
