Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,0.633,1.000, 0.000, 3
5,0.289,1.000, 0.000, 3
8,0.239,1.000, 0.000, 3
11,0.163,1.469, -0.664, 3
14,0.108,1.156, 0.273, 4
18,0.071,0.922, -0.068, 6
24,0.099,1.242, 0.241, 4
28,0.185,1.469, 0.332, 3
29,0.116,1.438, 0.234, 3
30,0.163,1.539, 0.260, 3
Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.453,3.812, -2.812, 3
5,0.254,1.000, 0.000, 3
8,0.162,1.000, 0.000, 3
11,0.244,1.516, -0.738, 3
14,0.081,0.777, 0.000, 6
20,0.061,0.777, 0.000, 8
28,0.075,0.867, -0.441, 6
29,0.018,0.451, -0.068, 12
30,0.012,0.434, 0.023, 12
Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,0.633,1.000, 0.000, 3
5,0.289,1.000, 0.000, 3
8,0.239,1.000, 0.000, 3
11,0.163,1.469, -0.664, 3
14,0.108,1.156, 0.273, 4
18,0.071,0.922, -0.068, 6
24,0.099,1.242, 0.241, 4
28,0.185,1.469, 0.332, 3
29,0.116,1.438, 0.234, 3
30,0.163,1.539, 0.260, 3
Prompt: golden fish swimming in the ocean. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.453,3.812, -2.812, 3
5,0.254,1.000, 0.000, 3
8,0.162,1.000, 0.000, 3
11,0.244,1.516, -0.738, 3
14,0.081,0.777, 0.000, 6
20,0.061,0.777, 0.000, 8
28,0.075,0.867, -0.441, 6
29,0.018,0.451, -0.068, 12
30,0.012,0.434, 0.023, 12
Prompt: the bund shanghai, oil painting aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.188,6.906, 5.906, 3
5,0.264,1.000, 0.000, 3
8,0.096,1.000, 0.000, 4
12,0.116,1.633, -1.055, 3
15,0.039,0.625, -0.065, 10
25,0.034,0.559, 0.000, 10
29,0.033,0.598, 0.020, 10
30,0.018,0.578, 0.000, 12
Prompt: the bund shanghai, oil painting aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.219,5.219, 4.219, 3
5,0.279,1.000, 0.000, 3
8,0.142,1.000, 0.000, 3
11,0.176,1.984, -1.406, 3
14,0.065,0.750, -0.247, 8
22,0.033,0.527, -0.117, 10
29,0.028,0.410, -0.027, 12
30,0.017,0.605, 0.101, 12
Prompt: an iron man is playing the electronic guitar, high electronic guitar. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.531,5.969, 4.969, 3
5,0.171,1.000, 0.000, 3
8,0.107,1.000, 0.000, 4
12,0.153,1.219, -0.361, 3
15,0.660,4.188, 2.562, 3
18,0.250,2.031, 0.312, 3
21,0.236,2.156, -0.625, 3
24,0.187,1.734, -0.287, 3
27,0.199,1.648, -0.287, 3
29,0.184,1.539, -0.260, 3
30,0.176,1.617, 0.260, 3
Prompt: an iron man is playing the electronic guitar, high electronic guitar. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.297,4.594, -3.594, 3
5,0.237,1.000, 0.000, 3
8,0.191,1.000, 0.000, 3
11,0.305,1.844, -1.211, 3
14,0.241,1.586, 0.730, 3
17,0.121,0.984, -0.183, 3
20,0.171,1.531, 0.559, 3
23,0.123,1.102, 0.104, 3
26,0.185,1.578, 0.443, 3
29,0.201,1.297, -0.234, 3
30,0.110,1.062, 0.000, 3
Prompt: a cute fluffy panda eating chinese food in a restaurant aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,0.965,1.625, -0.625, 3
5,0.318,1.000, 0.000, 3
8,0.204,1.000, 0.000, 3
11,0.346,2.312, -1.875, 3
14,0.096,0.719, 0.215, 4
18,0.176,1.734, 0.879, 3
21,0.107,1.102, -0.352, 4
25,0.092,0.977, -0.381, 4
29,0.129,0.996, -0.664, 3
30,0.055,0.551, -0.312, 8
Prompt: a cute fluffy panda eating chinese food in a restaurant aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,8.000,8.625, 7.625, 3
5,0.260,1.000, 0.000, 3
8,0.190,1.000, 0.000, 3
11,0.172,1.211, -0.299, 3
14,0.118,0.910, 0.000, 3
17,0.110,0.973, -0.091, 3
20,0.102,1.000, 0.091, 4
24,0.097,0.992, -0.137, 4
28,0.149,1.273, -0.695, 3
29,0.061,0.867, -0.412, 8
30,0.018,0.467, -0.056, 12
Prompt: a squirrel eating a burger. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.156,6.906, 5.906, 3
5,0.231,1.000, 0.000, 3
8,0.155,1.000, 0.000, 3
11,0.242,1.578, -0.832, 3
14,0.215,1.445, 0.535, 3
17,0.187,1.570, 0.508, 3
20,0.146,1.367, 0.234, 3
23,0.113,1.133, 0.000, 3
26,0.155,1.445, -0.443, 3
29,0.279,1.844, -1.211, 3
30,0.083,0.773, -0.195, 6
Prompt: a squirrel eating a burger. aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.688,5.219, 4.219, 3
5,0.202,1.000, 0.000, 3
8,0.176,1.000, 0.000, 3
11,0.173,1.070, -0.104, 3
14,0.216,1.375, 0.312, 3
17,0.239,2.016, 0.730, 3
20,0.217,1.992, 0.547, 3
23,0.156,1.445, 0.000, 3
26,0.199,1.648, -0.287, 3
29,0.309,1.891, -0.754, 3
30,0.186,1.648, -0.738, 3
Prompt: a beautiful coastal beach in spring, waves lapping on sand, black and white aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.266,1.898, 0.898, 3
5,0.287,1.000, 0.000, 3
8,0.190,1.000, 0.000, 3
11,0.124,1.211, -0.299, 3
14,0.150,1.570, 0.508, 3
17,0.093,1.062, 0.000, 4
21,0.134,1.555, 0.352, 3
24,0.153,1.539, 0.260, 3
27,0.152,1.281, 0.000, 3
29,0.238,1.992, 0.547, 3
30,0.238,2.219, 0.598, 3
Prompt: a beautiful coastal beach in spring, waves lapping on sand, black and white aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.531,7.250, -6.250, 3
5,0.287,1.000, 0.000, 3
8,0.218,1.000, 0.000, 3
11,0.211,2.219, 0.938, 3
14,0.123,1.617, 0.260, 3
17,0.134,1.734, 0.287, 3
20,0.122,1.445, 0.000, 3
23,0.256,2.625, 0.910, 3
26,0.299,2.672, 0.730, 3
29,0.393,2.406, 0.365, 3
30,0.410,3.672, 1.250, 3
Prompt: a beautiful coastal beach in spring, waves lapping on sand, watercolor painting aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,8.750,15.250, -14.250, 3
5,0.275,1.000, 0.000, 3
8,0.128,1.000, 0.000, 3
11,0.161,1.750, -1.070, 3
14,0.064,0.727, -0.065, 8
22,0.047,0.703, 0.024, 10
29,0.048,0.680, -0.121, 10
30,0.026,0.715, 0.078, 12
Prompt: a beautiful coastal beach in spring, waves lapping on sand, watercolor painting aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.672,4.625, 3.625, 3
5,0.270,1.000, 0.000, 3
8,0.162,1.000, 0.000, 3
11,0.131,1.273, -0.391, 3
14,0.115,1.078, -0.273, 3
17,0.081,0.855, -0.078, 6
23,0.065,0.777, 0.000, 8
29,0.071,0.812, -0.176, 6
30,0.041,0.699, 0.039, 10
Prompt: an astronaut flying in space, surrealism style aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.609,4.406, 3.406, 3
5,0.264,1.000, 0.000, 3
8,0.194,1.000, 0.000, 3
11,0.121,1.000, 0.000, 3
14,0.213,1.875, 0.676, 3
17,0.153,1.539, 0.260, 3
20,0.219,1.992, 0.547, 3
23,0.199,1.820, 0.287, 3
26,0.219,1.734, -0.287, 3
29,0.375,2.344, -1.273, 3
30,0.147,1.281, -0.312, 3
Prompt: an astronaut flying in space, surrealism style aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.445,1.312, 0.312, 3
5,0.152,1.000, 0.000, 3
8,0.077,1.000, 0.000, 6
14,0.080,1.422, -1.070, 6
20,0.048,0.805, 0.279, 10
29,0.039,0.523, -0.266, 10
30,0.009,0.258, -0.061, 12
Prompt: the bund shanghai, pixel art aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.156,9.062, 8.062, 3
5,0.275,1.000, 0.000, 3
8,0.179,1.000, 0.000, 3
11,0.160,1.578, 0.443, 3
14,0.178,1.773, 0.494, 3
17,0.266,2.781, 1.148, 3
20,0.172,1.625, 0.000, 3
23,0.248,2.438, -1.148, 3
26,0.192,1.625, -0.494, 3
29,0.301,1.719, -0.832, 3
30,0.125,1.078, -0.273, 3
Prompt: the bund shanghai, pixel art aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.922,3.000, 1.992, 3
5,0.287,1.000, 0.000, 3
8,0.110,1.000, 0.000, 3
11,0.084,1.000, 0.000, 6
17,0.095,1.164, 0.104, 4
21,0.142,1.555, 0.352, 3
24,0.126,1.203, 0.000, 3
27,0.151,1.203, 0.000, 3
29,0.200,1.531, -0.469, 3
30,0.125,1.062, 0.000, 3
Prompt: a panda drinking coffee in a cafe in paris, van gogh style aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.000,1.625, -0.625, 3
5,0.287,1.000, 0.000, 3
8,0.245,1.000, 0.000, 3
11,0.316,2.281, -1.820, 3
14,0.068,0.668, 0.163, 8
22,0.034,0.539, -0.168, 10
29,0.024,0.369, -0.260, 12
30,0.003,0.104, -0.023, 12
Prompt: a panda drinking coffee in a cafe in paris, van gogh style aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.188,10.188, 9.188, 3
5,0.287,1.000, 0.000, 3
8,0.146,1.000, 0.000, 3
11,0.174,1.578, -0.832, 3
14,0.104,1.109, -0.508, 4
18,0.047,0.625, -0.049, 10
28,0.054,0.742, 0.082, 8
29,0.018,0.664, -0.029, 12
30,0.017,0.637, 0.000, 12
Prompt: cliff aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.422,4.625, 3.625, 3
5,0.247,1.000, 0.000, 3
8,0.138,1.000, 0.000, 3
11,0.204,1.516, -0.738, 3
14,0.110,1.008, -0.326, 3
17,0.073,0.781, -0.144, 6
23,0.051,0.676, -0.098, 8
29,0.052,0.625, -0.244, 8
30,0.019,0.445, 0.034, 12
Prompt: cliff aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.750,6.906, 5.906, 3
5,0.223,1.000, 0.000, 3
8,0.152,1.000, 0.000, 3
11,0.277,2.219, 0.938, 3
14,0.132,1.281, 0.000, 3
17,0.125,1.281, 0.000, 3
20,0.149,1.461, -0.260, 3
23,0.137,1.367, -0.234, 3
26,0.169,1.516, -0.547, 3
29,0.260,1.641, -0.965, 3
30,0.083,0.727, -0.065, 6
Prompt: train railway aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,2.047,4.406, 3.406, 3
5,0.252,1.000, 0.000, 3
8,0.149,1.000, 0.000, 3
11,0.258,1.875, 0.676, 3
14,0.160,1.203, 0.000, 3
17,0.342,2.625, 1.094, 3
20,0.201,1.734, -0.287, 3
23,0.252,2.219, 0.598, 3
26,0.436,3.453, 1.406, 3
29,0.656,3.672, 1.250, 3
30,0.355,3.031, 0.469, 3
Prompt: train railway aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,11.312,16.625, -15.625, 3
5,0.250,1.000, 0.000, 3
8,0.180,1.000, 0.000, 3
11,0.264,1.938, -1.344, 3
14,0.203,1.477, 0.676, 3
17,0.177,1.531, 0.559, 3
20,0.118,1.102, 0.104, 3
23,0.129,1.273, 0.208, 3
26,0.187,1.672, 0.469, 3
29,0.237,1.531, -0.469, 3
30,0.182,1.672, 0.469, 3
Prompt: mountain aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.719,3.031, -2.031, 3
5,0.271,1.000, 0.000, 3
8,0.154,1.000, 0.000, 3
11,0.142,1.211, -0.299, 3
14,0.094,0.910, 0.000, 4
18,0.088,0.992, -0.137, 6
24,0.071,0.906, -0.130, 6
29,0.099,1.016, -0.590, 4
30,0.042,0.508, -0.137, 10
Prompt: mountain aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.406,7.312, 6.312, 3
5,0.295,1.000, 0.000, 3
8,0.121,1.000, 0.000, 3
11,0.197,2.031, -1.469, 3
14,0.048,0.559, 0.000, 10
24,0.033,0.559, -0.119, 10
29,0.026,0.439, -0.234, 12
30,0.005,0.198, -0.035, 12
Prompt: castle aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,8.875,9.375, 8.375, 3
5,0.169,1.000, 0.000, 3
8,0.138,1.000, 0.000, 3
11,0.196,1.070, -0.104, 3
14,0.115,1.102, 0.104, 3
17,0.157,1.578, 0.443, 3
20,0.093,1.133, 0.000, 4
24,0.116,1.328, -0.332, 3
27,0.185,1.578, -0.832, 3
29,0.157,1.328, -0.824, 3
30,0.077,0.691, -0.268, 6
Prompt: castle aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.156,6.781, 5.781, 3
5,0.268,1.000, 0.000, 3
8,0.123,1.000, 0.000, 3
11,0.275,2.375, -1.969, 3
14,0.056,0.539, -0.183, 8
22,0.023,0.375, -0.098, 12
29,0.013,0.238, -0.192, 12
30,0.001,0.042, -0.017, 12
Prompt: football field aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,6.969,10.750, 9.750, 3
5,0.291,1.000, 0.000, 3
8,0.102,1.000, 0.000, 4
12,0.131,1.711, 0.508, 3
15,0.093,1.367, -0.234, 4
19,0.083,1.234, -0.176, 6
25,0.149,1.852, 0.494, 3
28,0.287,2.109, 0.574, 3
29,0.150,1.938, 0.312, 3
30,0.262,2.500, 0.676, 3
Prompt: football field aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,5.469,9.250, -8.250, 3
5,0.275,1.000, 0.000, 3
8,0.153,1.000, 0.000, 3
11,0.194,1.875, 0.676, 3
14,0.109,1.203, 0.000, 4
18,0.097,1.203, 0.000, 4
22,0.105,1.203, 0.000, 4
26,0.124,1.203, 0.000, 3
29,0.248,1.539, 0.260, 3
30,0.268,2.359, 0.832, 3
Prompt: a yellow suitcase aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.078,6.312, -5.312, 3
5,0.357,1.000, 0.000, 3
8,0.185,1.000, 0.000, 3
11,0.332,2.656, -2.375, 3
14,0.064,0.582, 0.228, 8
22,0.026,0.367, -0.059, 12
29,0.016,0.277, -0.163, 12
30,0.003,0.110, -0.014, 12
Prompt: a yellow suitcase aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,9.500,10.000, 9.000, 3
5,0.291,1.000, 0.000, 3
8,0.099,1.000, 0.000, 4
12,0.139,1.930, -1.547, 3
15,0.026,0.414, -0.046, 12
27,0.019,0.354, -0.077, 12
29,0.007,0.268, -0.047, 12
30,0.005,0.217, -0.020, 12
Prompt: a blue suitcase aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,7.312,9.062, 8.062, 3
5,0.247,1.000, 0.000, 3
8,0.098,1.000, 0.000, 4
12,0.091,1.328, -0.555, 4
16,0.057,0.922, -0.244, 8
24,0.043,0.691, -0.054, 10
29,0.041,0.637, 0.000, 10
30,0.024,0.723, 0.043, 12
Prompt: a blue suitcase aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.484,4.188, 3.203, 3
5,0.243,1.000, 0.000, 3
8,0.169,1.000, 0.000, 3
11,0.132,1.000, 0.000, 3
14,0.127,1.273, 0.208, 3
17,0.111,1.211, -0.208, 3
20,0.103,1.070, -0.104, 4
24,0.106,1.094, -0.215, 4
28,0.161,1.250, -0.617, 3
29,0.079,0.898, -0.377, 6
30,0.042,0.723, 0.124, 10
Prompt: a blue car aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.328,5.031, 4.031, 3
5,0.258,1.000, 0.000, 3
8,0.138,1.000, 0.000, 3
11,0.134,1.211, -0.299, 3
14,0.142,1.297, 0.299, 3
17,0.130,1.273, -0.391, 3
20,0.106,1.125, -0.352, 4
24,0.083,0.922, -0.244, 6
29,0.083,0.840, -0.400, 6
30,0.027,0.480, 0.026, 12
Prompt: a blue car aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.312,6.469, 5.469, 3
5,0.260,1.000, 0.000, 3
8,0.196,1.000, 0.000, 3
11,0.146,1.070, -0.104, 3
14,0.262,1.984, 0.781, 3
17,0.175,1.539, 0.260, 3
20,0.153,1.461, -0.260, 3
23,0.130,1.203, 0.000, 3
26,0.146,1.203, 0.000, 3
29,0.237,1.531, -0.469, 3
30,0.150,1.367, 0.234, 3
Prompt: a green clock aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.570,2.328, -1.328, 3
5,0.281,1.000, 0.000, 3
8,0.202,1.000, 0.000, 3
11,0.150,1.211, -0.299, 3
14,0.127,1.164, 0.195, 3
17,0.084,0.969, 0.000, 6
23,0.090,1.219, 0.156, 4
27,0.112,1.062, 0.000, 3
29,0.129,1.062, 0.000, 3
30,0.187,1.672, 0.469, 3
Prompt: a green clock aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,1.773,3.031, -2.031, 3
5,0.271,1.000, 0.000, 3
8,0.103,1.000, 0.000, 4
12,0.109,1.445, -0.742, 4
16,0.057,0.859, -0.264, 8
24,0.039,0.598, 0.000, 10
29,0.035,0.598, -0.216, 10
30,0.013,0.383, -0.027, 12
Prompt: a purple bowl aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,3.594,7.438, 6.438, 3
5,0.256,1.000, 0.000, 3
8,0.157,1.000, 0.000, 3
11,0.249,1.688, -0.988, 3
14,0.101,1.023, 0.247, 4
18,0.080,1.078, -0.498, 6
24,0.046,0.660, -0.206, 10
29,0.026,0.453, -0.225, 12
30,0.006,0.225, -0.027, 12
Prompt: a purple bowl aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
2,4.531,9.062, 8.062, 3
5,0.256,1.000, 0.000, 3
8,0.180,1.000, 0.000, 3
11,0.234,1.750, -1.070, 3
14,0.077,0.680, 0.000, 6
20,0.054,0.707, -0.072, 8
28,0.056,0.680, -0.227, 8
29,0.013,0.463, -0.039, 12
30,0.013,0.453, 0.013, 12
Prompt: a train accelerating to gain speed aesthetic score: 6.5. motion score: 5.0.
step, cache_diff, mo_reg, mo_grad, new_rate
